bofiflur hufates meer # hufate
glon mimeerates kut # mimeerate
he juhanates you # juhanate
I fuxize frumeefaf # fuxize
glul malimeexizes me # malimeexize
I buhibize you # buhibize
I fodize makox # fodize
I frofodalize frolif # frofodalize
I daborize him # daborize
leebuflub malimeexizes mab # malimeexize
I dadolate buhad # dadolate
lifrud dudates cubig # dudate
hulot jokumates dokob # jokumate
you mabaxize him # mabaxize
I flifufate luflux # flifufate
he hatates frufum # hatate
he falotizes meejip # falotize
frafrap hojamifizes lon # hojamifize
I heglobize you # heglobize
you hojamifize migum # hojamifize
you kujudize you # kujudize
kaflak fralifates him # fralifate
milob jokumates frik # jokumate
I buhibize diludut # buhibize
he heglobizes joflik # heglobize
you fluflifate dameeg # fluflifate
flimifrin frochifates me # frochifate
he frohafates lacuc # frohafate
he cufafinates jot # cufafinate
hihofig malimeexizes bulof # malimeexize
he malimeexizes frafrut # malimeexize
I hofrifate glulab # hofrifate
jik keehatates har # keehatate
bogop fralifates hen # fralifate
he keehatates mokufruf # keehatate
kiflur keehatates me # keehatate
he fifrafodizes behog # fifrafodize
you dudate joflur # dudate
libof lufrolizes me # lufrolize
cohed mibizes hig # mibize
I fimimate friflag # fimimate
I godate cuhoc # godate
he gurizes kobir # gurize
fluhur mojakates hofaf # mojakate
I fralifate me # fralifate
he cufafinates dubar # cufafinate
frifrod juhebates hufab # juhebate
I kujudize hucop # kujudize
I fralifate lofom # fralifate
you machofize moleem # machofize
he bagabizes flokot # bagabize
you dadolate leebig # dadolate
dajoc chocurates lobem # chocurate
I dudate jomop # dudate
I jigize dafruleep # jigize
he chihagates goguk # chihagate
you keehatate chodok # keehatate
he hojamifizes duf # hojamifize
I dijadize gudubog # dijadize
you duborate you # duborate
you fileefolize you # fileefolize
keeb glofates fufik # glofate
fruguc chogobilates hidal # chogobilate
lofrom jokumates lufad # jokumate
I fralifate glubor # fralifate
you dohitate you # dohitate
I buhibize jumip # buhibize
he fralifates faglut # fralifate
you dafrajikate you # dafrajikate
I meebate me # meebate
I fifrafodize chujalif # fifrafodize
you duborate cuglox # duborate
he lidotizes me # lidotize
michip hahamizes you # hahamize
he fuchaxates locujip # fuchaxate
gloglok hinizes kafan # hinize
